camera_site,filename,class_id,prob,class_name,rand_name,conf,expert_updated,event,timestamp,flash_fired
AusP_BT_4_4,I__00001-0.JPG,1,0.987789,tasmanian_pademelon,sQHWg4A9wRKovqLl.JPG,0.941,0,1,20/07/2023 21:02:16,1
AusP_BT_4_4,I__00002.JPG,0,0.987789,tasmanian_pademelon,none,0.0,5,1,20/07/2023 21:03:36,1
AusP_BT_4_4,I__00003-0.JPG,1,0.8536634,tasmanian_pademelon,Osc1gZDIXgYOVoX1.JPG,0.951,0,2,21/07/2023 01:21:54,1
AusP_BT_4_4,I__00004.JPG,1,1.0,tasmanian_pademelon,none,0.0,4,3,04/08/2023 20:41:52,1
AusP_BT_4_4,I__00005.JPG,0,1.0,tasmanian_pademelon,none,0.0,5,3,04/08/2023 20:43:48,1
AusP_BT_4_4,I__00006.JPG,0,1.0,unknown_animal,none,0.0,4,4,12/08/2023 23:46:48,1
AusP_BT_4_4,I__00007.JPG,0,1.0,unknown_animal,none,0.0,4,5,16/08/2023 02:47:04,1
AusP_BT_4_4,I__00008.JPG,0,1.0,unknown_animal,none,0.0,4,6,02/09/2023 18:48:50,1
AusP_BT_4_4,I__00009-0.JPG,12,0.96418464,short_beaked_echidna,lCzQ0PzFlXUZeERJ.JPG,0.144,0,7,03/10/2023 01:43:02,0
AusP_BT_4_4,I__00010-0.JPG,1,0.8723303,tasmanian_pademelon,vQwb09BCFpDfpMaw.JPG,0.933,0,8,18/10/2023 09:40:58,1
AusP_BT_4_4,I__00011.JPG,27,1.0,superb_fairywren,none,0.0,4,9,13/11/2023 02:22:32,0
AusP_MF_3_463,I__00001-0.JPG,0,0.89326584,unknown_animal,bAO8NCkS3fRoBitB.JPG,0.95,0,1,11/08/2023 18:34:54,1
AusP_MF_3_463,I__00002-0.JPG,8,0.9932173,superb_lyrebird,tkibTrZyWDr2JUuf.JPG,0.974,0,2,22/09/2023 17:59:28,1
AusP_MF_3_463,I__00003-0.JPG,1,0.93989414,tasmanian_pademelon,9dTIp3Wz23oSTIPK.JPG,0.936,0,3,23/09/2023 18:02:52,1
AusP_MF_3_463,I__00004-0.JPG,0,0.656032,unknown_animal,Q5GzvlFiYU3fDXC9.JPG,0.53,0,4,26/09/2023 21:40:28,1
AusP_MF_3_463,I__00005-0.JPG,8,0.9976165,superb_lyrebird,GD48MIZOMrm6rejJ.JPG,0.918,0,5,22/10/2023 05:26:28,1
AusP_MF_3_463,I__00006-0.JPG,7,0.93631655,black_currawong,M3O0xroMmDboUjPc.JPG,0.969,0,6,09/11/2023 15:57:40,0
AusP_MF_3_463,I__00007-0.JPG,7,0.9383634,black_currawong,tUGzV8Hll2bSAqkM.JPG,0.967,0,6,09/11/2023 15:58:46,0
AusP_MF_3_463,I__00008-0.JPG,7,0.70179904,black_currawong,mGNMxgQvdjEcjd6X.JPG,0.79,0,6,09/11/2023 15:59:44,0
AusP_MF_3_463,I__00009-0.JPG,7,0.8625185,black_currawong,YCVSIn2AcIMaYeDJ.JPG,0.912,0,6,09/11/2023 16:00:14,0
AusP_WR_1_531,I__00001-0.JPG,1,0.92795825,tasmanian_pademelon,CeeUDk0VNk7LKNMZ.JPG,0.92,0,1,20/07/2023 18:19:42,1
AusP_WR_1_531,I__00002-0.JPG,0,0.92795825,tasmanian_pademelon,H4mEIaqFWLtjd63q.JPG,0.657,2,1,20/07/2023 18:21:22,1
AusP_WR_1_531,I__00003.JPG,0,1.0,unknown_animal,none,0.0,4,2,28/07/2023 02:56:44,1
AusP_WR_1_531,I__00004-0.JPG,1,0.990615,tasmanian_pademelon,hPMe0rfUtSJILysq.JPG,0.894,0,3,07/08/2023 20:27:04,1
AusP_WR_1_531,I__00005.JPG,1,1.0,tasmanian_pademelon,none,0.0,4,4,20/08/2023 00:48:40,1
AusP_WR_1_531,I__00006.JPG,0,1.0,tasmanian_pademelon,none,0.0,5,4,20/08/2023 00:52:24,1
AusP_WR_1_531,I__00007-0.JPG,0,1.0,tasmanian_pademelon,W9yfZwKSLMmryh1I.JPG,0.228,5,4,20/08/2023 00:53:24,1
AusP_WR_1_531,I__00008-0.JPG,0,0.79168075,unknown_animal,gt43lyBLDekghSu9.JPG,0.802,0,5,26/08/2023 06:10:00,1
AusP_WR_1_531,I__00009-0.JPG,1,0.99045664,tasmanian_pademelon,BIfJmIqtJg7LPIkA.JPG,0.909,0,6,28/08/2023 20:20:50,1
AusP_WR_1_531,I__00010.JPG,0,0.99045664,tasmanian_pademelon,none,0.0,5,6,28/08/2023 20:23:16,1
AusP_WR_1_531,I__00011-0.JPG,1,0.57186973,tasmanian_pademelon,7Bi4yHVoP0Xpmm8g.JPG,0.938,0,7,17/09/2023 00:56:16,1
AusP_WR_1_531,I__00012.JPG,1,1.0,tasmanian_pademelon,none,0.0,4,8,17/09/2023 01:24:30,1
AusP_WR_1_531,I__00013-0.JPG,6,0.9953923,bare_nosed_wombat,wt9wAJdFvwFk9UKK.JPG,0.964,0,9,17/09/2023 04:58:42,1
AusP_WR_1_531,I__00014-0.JPG,0,0.8828815,unknown_animal,mLDLbuNPuFMqcZ2D.JPG,0.636,0,10,18/09/2023 09:04:50,1
AusP_WR_1_531,I__00015-0.JPG,1,0.3406097,tasmanian_pademelon,jNiiCtc9cKrAl1j6.JPG,0.408,0,11,28/09/2023 23:27:22,1
