mewc 	scientific 			common
0 	unknown_animal     		unknown_animal
1 	Thylogale_billardierii     	tasmanian_pademelon
2 	Notamacropus_rufogriseus     	bennetts_wallaby
3 	Sarcophilus_harrisii     	tasmanian_devil
4 	Trichosurus_vulpecula     	brushtail_possum
5 	Felis_catus     		cat
6 	Vombatus_ursinus     		bare_nosed_wombat
7 	Strepera_fuliginosa     	black_currawong
8 	Menura_novaehollandiae     	superb_lyrebird
9 	Corvus_tasmanicus     		forest_raven
10 	Arctocephalus_pusillus    	australian_fur_seal
11 	Isoodon_obesulus    		southern_brown_bandicoot
12 	Tachyglossus_aculeatus    	short_beaked_echidna
13 	Dama_dama    			fallow_deer
14 	Dasyurus_maculatus    		spotted_tail_quoll
15 	Potorus_tridactylus    		long_nosed_potoroo
16 	Zoothera_lunulata    		bassian_thrush            
17 	Phaps_elegans    		brush_bronzewing
18 	Bettongia_gaimardi    		eastern_bettong
19 	Dasyurus_viverrinus    		eastern_quoll
20 	Rattus_rattus    		black_rat
21 	Pseudocheirus_peregrinus    	common_ringtail
22 	Perameles_gunnii 	   	eastern_barred_bandicoot
23 	Oryctolagus_cuniculus    	european_rabbit
24 	Canis_familiaris    		dog
25 	Platycercus_caledonicus    	green_rosella
26 	Turdus_merula    		common_blackbird
27 	Malurus_cyaneus    		superb_fairywren
28 	Tribonyx_mortierii    		tasmanian_nativehen
29 	Ovis_aries    			sheep
30 	Bos_taurus    			cattle
31 	Strepera_versicolor    		grey_currawong
32 	Phaps_chalcoptera    		common_bronzewing
33 	Gallus_gallus    		chicken
34 	Macropus_giganteus    		forester_kangaroo
35 	Lepus_europaeus    		brown_hare
36 	Pseudomys_higginsi    		long_tailed_mouse
37 	Rattus_lutreolus    		swamp_rat
39 	Sminthopsis_leucopus    	white_footed_dunnart
40 	Cercartetus_sp    		pygmy_possum
41 	Pachycephala_olivacea    	olive_whistler
42 	Sericornis_humilis    		tasmanian_scrubwren
43 	Colluricincla_harmonica    	grey_shrikethrush
44 	Aquila_audax    		wedge_tailed_eagle
45 	Gymnorhina_tibicen    		australian_magpie
46 	Dacelo_novaeguineae    		laughing_kookaburra
47 	Turnix_varia    		painted_buttonquail
48 	Zanda_funereus    		yellow_tailed_black_cockatoo
49 	Vanellus_miles    		masked_lapwing
50 	Egretta_novaehollandiae    	white_faced_heron
51 	Melanodryas_vittata    		dusky_robin
52 	Ninox_leucopsis    		tasmanian_boobook
53 	Circus_approximans    		swamp_harrier
54 	Cereopsis_novaehollandiae    	cape_barren_goose
55 	Haliaeetus_leucogaster    	white_bellied_sea_eagle
56 	Pavo_cristatus    		peafowl
57 	Coturnix_ypsilophora    	brown_quail
58 	Nesoptilotis_flavicollis    	yellow_throated_honeyeater
59 	Anas_castanea    		chestnut_teal
60 	Anthus_australis    		australian_pipit
61 	Sturnus_vulgaris    		european_starling
62 	Petroica_phoenicea    		flame_robin
63 	Mus_musculus    		house_mouse
64 	Antechinus_sp    		antechinus
65 	Hydromys_chrysogaster    	rakali
66 	Phylidonyris_pyrrhopterus	crescent_honeyeater
67 	Stagonopleura_bella    		beautiful_firetail
68 	Acanthornis_magnus    		scrubtit
69 	Lewinia_pectoralis    		lewins_rail
70 	Ardenna_griseus    		sooty_shearwater
71 	Eudyptula_minor    		little_penguin
72 	Cygnus_atratus    		black_swan
73 	Tiliqua_nigrolutea    		blotched_blue_tongue
74 	Aegotheles_cristatus    	australian_owlet_nightjar
76 	Porphyrio_melanotus    		purple_swamphen
77 	Platycercus_eximius    		eastern_rosella
78 	Phylidonyris_novaehollandiae   	new_holland_honeyeater
79 	Petroica_rodinogaster    	pink_robin
80 	Rhipidura_albiscapa    		grey_fantail
81 	Falco_berigora    		brown_falcon
82 	Anas_superciliosa    		pacific_black_duck
83 	Chenonetta_jubata		maned_duck
84 	Acanthiza_sp			thornbill
86 	Carduelis_carduelis		european_goldfinch
87 	Tachyspiza_fasciata    		brown_goshawk
88 	Melithreptus_validirostris	strong_billed_honeyeater
92 	Petaurus_breviceps    		sugar_glider
93 	Insecta_sp			insect
94	Carinascincus_sp		skink
95 	Elapidae_sp			snake
98 	Capra_hircus			goat
100 	Vulpes_vulpes   		red_fox
108 	Platycercus_elegans   		crimson_rosella
117 	Ornithorhynchus_anatinus	platypus
118	Numida_meleagris		guinea_fowl
999 	Bait_Station			camera_bait
